title,tag,artist,year,lyrics,views,rank
Me And The Boys In The Band,pop,Carly Rae Jepsen,2020,"[Verse 1]
On the road for half the year
And I can't remember loneliness
And it feels like that says something about you
Or something 'bout me
Performance and the after party
And it took a little time I guess
But I found that I'm not thinking about you
Or thinking 'bout it

[Pre-Chorus]
Then we pack up, it's time to go
We'll do the whole damn thing tomorrow
In a new city, so pretty, let's go
Driving all night to make that show
I'll be a whole new girl tomorrow
It's a new city, so pretty, eyes closed

[Chorus]
We partied in the street last night
Got a little deep last night
In our feelings, yeah
And I got a little me last night
I danced in the street last night
With the boys in the band
Just me and the boys in the band
[Verse 2]
Now and then a memory sparks
Like violins still break my heart
And I feel that says something about you
Or something about me
One day we will meet as friends
But I am not good at pretending
You were so good at pretending

[Pre-Chorus]
Hey, but now I pack up, it's time to go
We'll do the whole damn thing tomorrow
In a new city, so pretty, let's go
Driving all night to make that show
I'll be a whole new girl tomorrow
In a new city, so pretty, eyes closed

[Chorus]
We partied in the street last night
Got a little deep last night
In our feelings, yeah
And I got a little me last night
I danced in the street last night
With the boys in the band
Just me and the boys in the band (hey!)
[Post-Chorus]
So just take me to the stage
It's been home from the start
Summer nights, summer days
I've got the summer heart!
So just take me to the stage
It's been lit from the start
I need the summer heart
Just me and the boys in the band (hey!)

[Bridge]
(Hey!)
(Hey!)
Just me and the boys in the band (hey!)
Just me and the boys in the band

[Chorus]
We partied in the street last night
Got a little deep last night
In our feelings, yeah (hey!)
And I got a little me last night
I danced in the street last night
With the boys in the band (With the boys in the band)
Just me and the boys in the band (hey!)

[Post-Chorus]
So just take me to the stage
It's been home from the start (hey!)
Summer nights, summer days (Just me and the boys)
I've got the summer heart (hey!)
So just take me to the stage
It's been lit from the start
Just me and the boys in the band (hey!)
[Outro]
On the road for half the year
And Real Love's just a song I guess
And it feels like that says something about you
Or something about me",3704,71788
Closed Doors,pop,Amber Liu,2018,"[Verse 1]
Hold me like you did before
Don't speak, we'll keep this quiet till dusk
No, we don't need to care no more, no more
You don't like the lights
You'd rather stay for the night
(But here we stand again)
We can't seem to fight it, oh
I see it in your eyes
You know you can't deny (I can be the ease)
The ease to take all the burden, put them aside

[Chorus]
Nobody has to know
What's behind these closed doors
Nobody has to know
Everything that we plan on fighting for
Nobody has to know
We don't need to say the places we can go
Please just hold me in your arms
And I'll make sure to dry your tears
[Verse 2]
We don't need to run
We don't need to hide
We don't need to keep on choosing sides
(But here we stand again)
We can't seem to fight it, oh
I see it in your eyes
You know you can't deny (I can be the ease)
The ease to take the burden, put them aside, yeah

[Chorus]
Nobody has to know
What's behind these closed doors
Nobody has to know
Everything that we plan on fighting for
Nobody has to know
We don't need to say the places we can go
Please just hold me in your arms
And I'll make sure to dry your tears

[Bridge]
(Nobody has to know)
(Nobody has to know)
No, nobody has to
(Nobody has to know)
(Nobody has to know)
Nobody has to
(Nobody has to know)
Nobody has to know, yeah
(Nobody has to know)
Nobody has to know
[Chorus]
Nobody has to know
What's behind these closed doors
Nobody has to know
Everything that we plan on fighting for
Nobody has to know
We don't need to say the places we can go
Please just hold me in your arms
And I'll make sure to dry your

[Outro]
Nobody has to know
Runaway, runaway, runaway
Nobody has to know
Runaway, runaway, runaway from here
Nobody has to know
Runaway, runaway, runaway
Nobody has to know
Runaway, runaway, runaway from here",4042,67219
Untamed Region,pop,Jenny Hval,2016,"[Intro]
It sums up the strange mood of our time when nothing really makes any coherent sense. We live with a constant vaudeville of contradictory stories that makes it impossible for any real opposition to emerge, because they can't counter it with a coherent narrative of their own. And it means that we as individuals become ever more powerless, unable to challenge anything because we live in a state of confusion and uncertainty

[Verse 1]
I'm in a big house, having big dreams
The next time I wake up there's blood on the bed
Didn't know it was time yet
Or is it not mine?
I feel old in this hotel
As if surprised to find I still have it in me
And yet so young
Hollow
Unsure if from young or old
I dip my finger in it
Smells like warm winter
Then I feel the need to touch everything
Everything in this room
Like a dog I'm marking everything that belongs to no-one
Bringing it close to me, or life, or something
I have big dreams
And blood powers
My own art history
My combined failures",5375,54067
Everything,pop,Diamond Eyes,2018,"[Verse 1]
I'm on my own, broke and alone
I feel the rain crashing down
All around this empty town
I'm searching for the lost and found
But you don't care, you're unaware
Keep moving like the scars aren't even there
It's in the air, like a prism flare
Just stay cause the flames will burn us

[Chorus]
I thought you were the one for me
That's why I gave you everything
Held you close by the stormy seas
Oh, you meant the world to me

[Pre-Drop]
I used to kiss your head when you cried for me
Hold your hand while the pain was all around
Keep you warmed by the roaring sea
Oh, you meant the world to me
[Drop]
Oh, you meant the world to me
Oh, you meant the world to me

[Verse 2]
My darling dear, you're never here
When I'm in pain you hide and disappear
Like shadows in the atmosphere
Charming the stratosphere, yeah
I prayed for you, and catch you near
In hopes you'd chase away my fears
I'm on my own, you made it so
And now I'm chasing nightmares through your pain

[Pre-Chorus]
I used to run with you through the great big leaves
Laugh at you when you laugh at me
Hope for us because I believed
That home was just you and me

[Chorus]
I thought you were the one for me
That's why I gave you everything
Held you close by the stormy seas
Oh, you meant the world to me
[Drop]
Oh, you meant the world to me
Oh, you meant the world to me

[Bridge]
Oh I'm gonna do this on my own
No point in blaming you-you did not know
Ooooh

[Chorus]
I thought you were the one for me
That's why I gave you everything
Held you close by the stormy seas
Oh, you meant the world to me

[Drop]
Oh, you meant the world to me
Oh, you meant the world to me

[Bridge]
Oh I'm gonna do this on my own
No point in blaming you-you did not know
Ooooh
Oh I'm gonna do this on my own
No point in blaming you, you did not know
Ooooh
[Chorus]
I thought you were the one for me
That's why I gave you everything
Held you close by the stormy seas
Oh, you meant the world to me",63565,7169
Lentil,pop,Sia,2008,"[Verse 1]
Oh, you were waiting for me, you saw me, adored me
As I wish the whole world would
You would never hurt me, desert me or work me
For all the things you thought you could
And you would lick the tears from my eyes when I cry
How I missed you when I was gone
Hurt me so to leave you, deceive you, I needed you
I believed in you

[Chorus]
Oh, I, I never meant to let you down
I'll wait with a stake in my heart
I never meant to put you down
I'm trying not to fall apart

[Verse 2]
Now all I have is riches and pictures and stitches
Money could never buy what you gave
And though my heart is achin' and breakin', I'm makin'
The most of what you send my way
Now I want just to hold you, unfold you, I told you
See, I am coming back for you
Yeah, I know we will be okay everyday
The sun shines a little brighter
[Chorus]
Oh, I, I never meant to let you down
I'll wait with a stake in my heart
I never meant to put you down
I'm trying not to fall apart
I never meant to let you down
I'll wait with a stake in my heart
I never meant to put you down
I'm trying not to fall apart

[Bridge]
I'm trying not to fall apart
We'll reunite, oh, we'll set a light
I'm pushing with all of my might

[Chorus]
Oh no, I never meant to let you down
(I wait with a stake in my heart)
I never meant to put you down
(I'm trying not to fall apart)
I never meant to let you down
(I wait with a stake in my heart)
I never meant to put you down
Yeah, I'm trying not to fall",11593,29619
Reasons to Stay,pop,Kate Vogel,2019,"[Verse 1]
I've been driving around here in this town
Know it like the back of my hand
I've been dreaming of ways, ways to get out
Put myself in a box that I'd never be
Someone I'm proud of you see
Here I am on this bridge facing defeat

[Chorus]
I'm just doing the best I can
I'm just living the life I have
I'm confused but I'm fine with that
The beauty will outweigh the pain
From the chill of the autumn wind
And the laugh of your sister's kid
To the first snow when it sets in
The beauty will outweigh the pain
We'll all find a purpose one day
There's so many reasons to stay

[Verse 2]
No I don't wanna die, just don't wanna live
Why can't I reach out for help
You would do anything to get me through this
I'm so used to alone, don't know what it's like
To let someone into my mind
But I'd do anything just to survive
[Chorus]
I'm just doing the best I can
I'm just living the life I have
I'm confused but I'm fine with that
The beauty will outweigh the pain
From the chill of the autumn wind
And the laugh of your sister's kid
To the first snow when it sets in
The beauty will outweigh the pain
We'll all find a purpose one day
There's so many reasons to stay

[Outro]
I'm just doing the best I can
I'm just living the life I have
I'm confused but I'm fine with that
The beauty will outweigh the pain
We'll all find a purpose one day
We all have a reason to stay",2323,101426
Starry Eyed,pop,Ellie Goulding,2010,"[Intro]
Oh, oh, starry-eyed
Hip, oh, oh, sta-a-a-a
Oh, oh, [""starry-eyed"" backwards]
[""Everybody goes"" backwards], s-starry-eyed
Hit, hit, hit, hit, hit me with lightning

[Verse 1]
Handlebars that I let go, let go for anyone
Take me in and I'll throw out my heart and get a new one

[Pre-Chorus]
Next thing, we're touching
You look at me, it's like you hit me with lightning, ah ah...

[Chorus]
Oh, everybody's starry-eyed
And everybody glows
Oh, everybody's starry-eyed
Oh, everybody's starry-eyed
And my body goes woah-oh-oh
Ah ah, whoa-oh-oh
Ah ah, whoa-oh-oh
[Verse 2]
So we burst into colours, colours and carousels
Fall head first like paper planes and playground games

[Pre-Chorus]
Next thing, we're touching
You look at me, it's like you hit me with lightning

[Chorus]
Oh, everybody's starry-eyed (sta-a-a-a-a-a-a)
And everybody glows
Oh, everybody's starry-eyed
And my body goes woah-oh-oh (oh whoa whoa whoa whoa)
Ah ah, whoa-oh-oh
Ah ah, whoa-oh-oh (oh whoa whoa whoa whoa)
Sta-a-a-a

[Hook]
Next thing we're touching (oh, whoa, whoa)
Next thing we're touching ([""and I let go"" backwards], and I let go)
Next thing we're touching (oh, whoa, whoa)
Next thing we're touching (we come and go but we're not in love, in love)
Next thing we're touching (oh, whoa, whoa)
Next thing we're touching (we come and we go but we're not in love, and I let go)
Next thing we're touching
Next thing we're touchi-i-ing
Hit me with lightning
[Chorus]
Oh, everybody's starry-eyed
And everybody glows
Oh, everybody's starry-eyed
And my body goes
Oh, everybody's starry-eyed (everybody's starry-eyed)
And everybody glows
Oh, everybody's starry-eyed (oh everybody, whoa-oh)
And my body goes whoa-oh-oh (ooh ooh, whoa whoa whoa)
Ah ah, whoa-oh-oh (whoa whoa, where my body goes?)
Ah ah, whoa-oh-oh
Ah ooh ooh ooh...",18333,20442
Leaves,pop,Ben&Ben,2017,"[Verse 1]
I can think of all the times
You told me not to touch the light
I never thought that you would be the one
I couldn't really justify
How you even thought it could be right
'Cause everything we cherished is gone
And in the end can you me tell me if
It was worth the try, so I can decide

[Chorus]
Leaves will soon grow from the bareness of trees
And all will be alright in time
From waves overgrown come the calmest of seas
And all will be alright in time
Oh you never really love someone until, you learn to forgive

[Verse 2]
Try as hard as I might
To flee the shadows of the night
It haunts me and it makes me feel blue
But how can I try to hide
When every breath and every hour
I still end up thinking of you
And in the end everything we have makes it worth the fight
So I will hold on for as long
[Chorus]
As leaves will soon grow from the bareness of trees
And all will be alright in time
From waves overgrown come the calmest of seas
And all will be alright in time
Oh, you never really love someone until you learn to forgive

[Bridge]
I never thought that I would see the day
That I'd decide if I should leave or stay
But in the end what makes it worth the fight's
That no matter what happens we try to make it right

[Chorus]
Leaves will soon grow from the bareness of trees
And all will be alright in time
From waves overgrown come the calmest of seas
And all will be alright in time
Wounds of the past will eventually heal
And all will be alright in time
'Cause all of this comes with a love that is real
I said all will be alright in time
I said all will be alright in time
I said all will be alright in time
All will be alright in time
[Outro]
Oh, you never really love someone until
You learn to forgive
You learn to forgive
Learn to forgive",187829,2663
Come Up for Air,pop,Skylar Grey,2016,"[Verse 1]
I'm no good for you
I'm not what you need
You've made that very clear
Though I disagree
Enough to let you go
To let you drift away
'Cause once you navigate these troubled waters
I believe that someday you'll return

[Chorus]
And I will still be here
When you come up for air
Do you what you gotta do
I'll wait for you to come up for air

[Verse 2]
'Cause in this whole wide world
There's no one else for me
So while you search the seas for answers
I will still be waiting
Be sure to dive down deep
Because if you do
Even if it takes a thousand lifetimes
My love, I know you're finally gonna see the truth
And you'll return
[Chorus]
And I will still be here
When you come up for air
Do you what you gotta do
I'll wait for you to come up for air

[Bridge]
And even if this really is the end
I'm sure I'll be alone until I'm dead
'Cause no one else will ever quite compare
To them it wouldn't be fair
To lay here with somebody new
And all I did was think of you
If you're my Jack then I'm your Rose
And I promise I will never, ever let go

[Chorus]
And I will still be here
When you come up for air
Do you what you gotta do
I'll wait for you to come up for air

[Outro]
To come up for air
Come up for air
Come up for air
To come up for air
To come up for air
Come up for air
Come up for air
To come up for air",18416,20372
Love Lifted Me,pop,Hezekiah Walker,1990,"LEAD:
There is something I wanna say
I'm gland that Jesus came my way
Picked me up, and turned me around
Then He placed my feet on higher ground

CHORUS:
Love lifted me
Love lifted me
Love lifted me
Love lifted me

LEAD:
THere is something I wanna say
That I remember when He came my hand
With a tender hand, He lifted me
Then He turned around and gave victory

CHORUS

BRIDGE:
When nothing else could help
When nothing else could help
When nothing else could help
When nothing else could help
When nothing else could help
When nothing else could help
When nothing else could help
When nothing else could help
Love lifted (It lifted)
VAMP:
Love lifted me (modulate extra high!!!!)",2134,108152
