id;context;question;answer_text;answer_start
33553;"[Intro]
Ahh, mmm

[Verse 1]
No words
My tears won't make any room for 'em
And it don't hurt like anything I've ever felt before
This is no broken heart
No familiar scars
This territory goes uncharted
Just me, in a room sunk down in a house in a town, and I
Don't breathe, though I never meant to let it get away from me
Now I have too much to hold
Everybody has to get their hands on gold
And I want uncharted

[Pre-Chorus]
Stuck under the ceiling I made
I can't help the feeling

[Chorus]
I'm going down
Follow if you want, I won't just hang around
Like you'll show me where to go
I'm already out, of foolproof ideas, so don't ask me how
To get started, it's all uncharted
La la la-a-a-a, oh
[Verse 2]
Each day
I'm counting up the minutes, 'til I get alone, 'cause I can't stay
In the middle of it all, it's nobody's fault, but I'm so low
Never knew how much I didn't know
Oh, everything is uncharted

[Pre-Chorus]
I know I'm getting nowhere, when I only sit and stare like

[Chorus]
I'm going down
Follow if you want, I won't just hang around
Like you'll show me where to go
I'm already out, of foolproof ideas, so don't ask me how
To get started, it's all uncharted

[Bridge]
Jumpstart my kaleidoscope heart
I love to watch the colors fade
They may not make sense, but they sure as hell made me
I won't go as a passenger, no
Waiting for the road to be laid
Though I may be going down
I'll take in flame over burning out
Compare where you are to where you want to be
And you'll get nowhere
[Chorus]
I'm going down
Follow if you want, I won't just hang around
Like you'll show me where to go
I'm already out, of foolproof ideas, so don't ask me how
To get started
Oh, I'm going down
Follow if you want, I won't just hang around
Like you'll show me where to go
I'm already out, of foolproof ideas, so don't ask me how
To get started, it's all uncharted

[Outro]
You guys wanna sing something?";¿En qué se convirtió?;everything;878
49498;"Oh the hours are passing
Like a slowly smoked cigarette
Oh the nights I spent feeling lonely
Whilst my tear ducts started to sweat
I hope you're happy now that you left my sheets stained with memories
You left an illness here
Made me feel real weird
There's no remedy

[Chorus]
But will we always be enemies?
Can you depart from washing my heart?
I'm hitting restart

I'm shaking now
Coz I'm draining the cold from my head
Are you dreaming now
Of the things we could have unsaid?
I'm lying in the dirt thinking ""what is worse?""
I miss your smell and your smile
I miss the way you danced
As our love romanced on the cold dark tiles
[Chorus]
Will we always be enemies?
Can you depart from washing my heart?
I'm hitting restart";¿A quién extraña el cantante?;you;138
1414;"[Verse 1: Jack Met]
Hello, hello
I'm not where I'm supposed to be
I hope that you're missin' me
'Cause it makes me feel young
Hello, hello
Last time that I saw your face
Was recess in second grade
And it made me feel young

[Chorus: Jack Met]
Won't you help me sober up?
Growin' up, it made me numb
And I wanna feel somethin' again
Won't you help me sober up?
All the big kids, they got drunk
And I want to feel somethin' again (Oh oh oh oh)
Won't you help me feel somethin' again?
How's it go again?

[Verse 2: Jack Met]
""Goodbye, goodbye""
I said to my best-est buds
We said that we'd keep in touch
And we did our best
All my new friends
We smile at party time
But soon we forget to smile
At anything else
[Chorus: Jack Met]
Won't you help me sober up?
Growin' up, it made me numb
And I want to feel somethin' again
Won't you help me sober up?
All the big kids, they got drunk
And I want to feel somethin' again (Oh oh oh oh)
Won't you help me feel somethin' again?
How's it go again?

[Post-Chorus: Jack Met]
How's it go again? (Go again, go again, go again…)

[Bridge: Rivers Cuomo]
My favorite color is you
You're vibratin' out my frequency
My favorite color is you
You keep me young and that's how I wanna be
My favorite color is you
You're vibratin' out my frequency
My favorite color is you
You keep me young and that's how I wanna be

[Verse 1: Jack Met]
Hello, hello
I'm not where I'm supposed to be
I hope that you're missin' me
'Cause it makes me feel young
Hello, hello
Last time that I saw your face
Was recess in second grade
And it made me feel young
[Pre-Chorus: Jack Met]
And I want to feel somethin' again
I just wanna feel somethin' again
How's it go again?

[Chorus: Jack Met]
Won't you help me sober up?
Growin' up, it made me numb
And I want to feel somethin' again (My favorite color is you)
Won't you help me sober up?
All the big kids, they got drunk
And I want to feel somethin' again (My favorite color is you)
Won't you help me feel somethin' again? (My favorite color is you)
Can I finally feel somethin' again?
How's it go again?";¿A quién extraña el cantante?;you;78
29282;"[Verse 1]
Although many contend
You can find hope ascend
To mark just how everything changes
Be it the temperature highs
Or the sea level rising
It's all going up but the wages

And murdered reporters
And talk of hard borders
Sky-bound as a heavenly choir
Or the stock price in Boeing
The screams of the dying
Or the skies over Yemen last night

[Chorus]
It's all going up but the wages
And maybe it's time
It's all going up but the wages
And maybe it's time
[Verse 2]
Don't mention the rent
Or the money that's spent
Keeping the banks in good health
Or ridiculous claims
Or the level of blame
Pointed to anything else

And preachy musicians
And those stuck in prisons
With scarcely enough for a blunt
Or the pressure of blood
That new hotel in the hood
With an oligarch's name on the front

[Chorus]
It's all going up but the wages
And maybe it's time
It's all going up but the wages
And maybe it's time
It's all going up with the bump in the heating bills
Even though the city's on fire
It's all going up but the wages
And maybe it's time

[Bridge]
Higher and higher and higher
Higher and higher and higher
Higher and higher and higher
Higher and higher and higher
Higher and higher and higher
Higher and higher and higher

[Chorus]
It's all going up but the wages
And maybe it's time
It's all going up but the wages
And maybe it's time
It's all going up with the bump in the heating bills
Even though the city's on fire
It's all going up but the wages
And maybe it's time";¿En qué se convirtió?;everything;74
6113;"[Verse 1: Jack Avery & Jonah Marais]
You have my focus, I can't control it
I find your magic in every moment
No sleight of hand, 'cause you're my truth
And when in love the ordinary just won't do

[Chorus: Daniel Seavey]
You look so beautiful, you walked out of a dream
I never felt this way before, your eyes are all I need
To make forever feel like just a little while
I swear I'd walk, I'd run, I'd even learn to fly
Just to see you smile

[Post-Chorus: Daniel Seavey & All]
Just to see you smile
Just to see you smile
You can make the world stop
You can have it your way
You can make the world stop
You can have it your way
Just to see you smile
You can make the world stop
You can have it your way, have it your way
[Verse 2: Corbyn Besson & Zach Herron]
Without a question, you keep me guessing
And golden hearts find gentle hands with no exception
And if I hold you, we're bulletproof
And I don't care about nobody's point of view

[Chorus: Daniel Seavey]
You look so beautiful, you walked out of a dream
I never felt this way before, your eyes are all I need
To make forever feel like just a little while
I swear I'd walk, I'd run, I'd even learn to fly
Just to see you smile

[Post-Chorus: Daniel Seavey & All]
Just to see you smile
Just to see you smile
You can make the world stop
You can have it your way
You can make the world stop
You can have it your way
Just to see you smile
You can make the world stop
You can have it your way, have it your way

[Bridge: Jack Avery & Zach Herron]
And when you pull me close
I learn which side of gravity needs me most
Attracted to your everything
I know there's more than what meets the eye
I'd walk, I'd run, I'd even learn to fly
Just to see you smile
[Post-Bridge: Why Don't We & Daniel Seavey]
You can make the world stop
You can have it your way
You can make the world stop
You can have it your way
Just to see you smile
You can make the world stop
You can have it your way, have it your way
Just to see you smile
You can make the world stop
You can have it your way
You can make the world stop
You can have it your way
Just to see you smile
You can make the world stop
You can have it your way, have it your way
Just to see you smile";¿En qué se convirtió?;everything;1588
24148;"[Intro: Joohoney]
Monthly, weekly, nightly and daily
If I'm falling, baby, don't blame me
If I'm falling, baby, don't blame me

[Verse 1: I.M, Minhyuk]
Six months just gone
First words on the tip of my tongue
Hello, where you from?
It's some joke that you do, it's so dumb
Oh my god, I've been missing you, like
Oh my god, I've been wishing that I could go back

[Pre-Chorus: Hyungwon, Joohoney]
To your body on mine
To your body on mine, now it's
Out of my hands, out of my hands
Out of my hands

[Chorus: Kihyun, Hyunwon]
Can you blame me?
For thinking 'bout, thinking 'bout, thinking 'bout
Thinking 'bout you naked
Look at you, look at you, look at you
Looking like a daydream
On my mind, on my mind, on my mind, on my mind
Monthly, weekly, nightly and daily
If I'm falling, baby, don't blame me
(Can you blame, can you blame me? Oh, oh, oh)
If I'm falling, baby, don't blame me
[Verse 2: I.M, Minhyuk]
New place, you moved on
And moved in, tell me, baby, don't call
I still text like none
The next phone is thinking 'bout your best timе
Fall straight down, you ain't taking the risk
I know damn well that this all is a chance, wе go back

[Pre-Chorus: Hyungwon, Shownu]
To your body on mine
To your body on mine, now it's
Out of my hands, out of my hands
Out of my hands

[Chorus: Joohoney, I.M]
Can you blame me?
For thinking 'bout, thinking 'bout, thinking 'bout
Thinking 'bout you naked
Look at you, look at you, look at you
Looking like a daydream
On my mind, on my mind, on my mind, on my mind
Monthly, weekly, nightly and daily
If I'm falling, baby, don't blame me
(Can you blame, can you blame me? Oh, oh, oh)
If I'm falling, baby, don't blame me
(Can you blame, can you blame me? Oh)
Monthly, weekly, nightly and daily
If I'm falling, baby, don't blame me
[Outro:  Joohoney]
Blame me
For thinking 'bout, thinking 'bout, thinking 'bout
Thinking 'bout you naked
Look at you, look at you, look at you
Looking like a daydream
On my mind, on my mind, on my mind, on my mind
Monthly, weekly, nightly and daily
If I'm falling, baby, don't blame me";¿A quién extraña el cantante?;you;222
5503;"[Verse 1]
Eight years old and he’s kicking and screaming
“I’ll only go to school if you give me a reason
The kids are really mean and I already know all the things they’re teaching”
Hopped in the car mama let him play hookey
Missed the first hour just to get a cup of coffee
She’s the only one who saw who he was, no one else could read him
Showing up late but he makes it to class
Just to stare out the window and the clock in the back
He daydreamed away to a sky so gray
Everything’s simple, it’s driving him mental
Wishing every day that something would change
Instead his dad makes him play ball by the bay
And every time he cries, father rolls his eyes saying
“Son it’s all your fault, how come you never try?”

[Pre-Chorus]
He does all that he should
Why is he misunderstood?

[Chorus]
This is a story bout a broken boy
With his headphones in just to block out the noise
Of everyone around him telling him the way to go
So he walks the world alone
Wondering if it gets better
Or if he’s always gonna feel empty forever
So he gets lost tryna find another way back home
As he walks the world alone
[Verse 2]
Fifteen years and he’s drowning his sorrows
Smoking weed, drinking cheap liquor out the bottle
With a bunch of fake friends 'cause he tried to fit in but it wasn’t working
Ran in with the law 'bout a dozen of times
Nothing too bad, just a few suburban crimes still
He says to himself, “What are you doing you don’t deserve this
Don’t you know nobody will ever understand
The person that you are, learn to hold your own hand
Get your shit together and lose the weight
You’ll never be what you want, no not with that face”
He started writing all of his thoughts on paper
Realized music made life so much greater
100 pounds down, he looks so different now
As he plans his escape from a crooked hometown

[Pre-Chorus]
He does all that he should
Why is he misunderstood?

[Chorus]
This is a story bout a broken boy
With his headphones in just to block out the noise
Of everyone around him telling him the way to go
So he walks the world alone
Wondering if it gets better
Or if he’s always gonna feel empty forever
So he gets lost tryna find another way back home
As he walks the world alo-oh-oh-oh-oh-one
Alo-oh-oh-oh-oh-one
Alo-oh-oh-oh-oh-one
[Bridge]
21 years and he’s on the right path
But sometimes he wonders if he grew up too fast
And missed out on the little things, all of the little things
(Haha, yeah right)
Who is he kidding, surely not himself
But sometimes he wonders if there’s somebody else
Who takes the same road, but he’ll never know
'Cause he walks the world alone

[Chorus]
This is a story bout a broken boy
With his headphones in just to block out the noise
Of everyone around him telling him the way to go
So he walks the world alone
Wondering if it gets better
Or if he’s always gonna feel empty forever
So he gets lost tryna find another way back home
As he walks the world alo-oh-oh-oh-oh-one
Alo-oh-oh-oh-oh-one (Does it get better, does it get better)
Alo-oh-oh-oh-oh-one
As he walks the world alone
Alo-oh-oh-oh-oh-one
Alo-oh-oh-oh-oh-one
Yeah he walks the world alone";¿A quién extraña el cantante?;you;84
21123;"[EMMA]
Tomorrow is uncertain
Who knows what it will bring

[KILLIAN]
But one thing is for sure, love
With you I have everything

[BOTH]
A happily ever after is the way these stories go

[EMMA]
Used to think that’s what I wanted
But now I finally know
There’s no storm we can’t outrun

[KILLIAN]
We will always find the sun

[BOTH]
Leave the past and all its scars
A happy beginning now is ours
[MARY-MARGARET]
We celebrate together
A long time wish come true

[DAVID]
What makes it even better
Today our story starts anew

[REGINA]
Let villains cast their curses

[REGINA & ZELENA]
We can overcome them all

[ZELENA]
If we all stand strong together

[HENRY]
There’s no way we can fall

[ALL]
There’s no storm we can’t outrun
We will always find the sun
Leave the past and all its scars
A happy beginning now is ours
If we’re facing endless night
Take my hand and join the fight
Past the clouds we’ll find the stars
A happy beginning now is ours
Na na na na na na na na na na
There’s no storm we can’t outrun
We will always find the sun
Leave the past and all its scars
A happy beginning now is ours
If we’re facing endless night
Take my hand and join the fight
Past the clouds we’ll find the stars
A happy beginning now is ours
A happy beginning now is ours";¿En qué se convirtió?;everything;117
47609;"[Verse 1]
It's the way I fell when you looked at me so tender
How I miss you breathing on my neck when I enter

[Chorus]
I miss your touch
I want it back
Except I, gave you so much
Got nothing back
But still the thought of you is the prettiest thing that I own
You know that I can never let go

[Verse 2]
Leave me out at winter when I'm looking for shelter
Rid me from the list of people that you still care for

[Chorus]
I miss your touch
I want it back
Except I, gave you so much
Got nothing back
But still the thought of you is the prettiest thing that I own
You know that I can never let go (Let it go, let it go, let it go, let it go, let it go)
[Break]

[Verse 3]
You've been on my mind
Since we went behind
Your step daddy's greenhouse
That was my first time
On a bed of roses, cherries by your side
I could come back over, if you change your mind

[Outro]
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I've been waiting on you, yeah
Stop (Stop)

I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)

I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I've been waiting on you
Stop (Stop)

I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)
I miss you, I miss you
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I've been waiting on you
Stop (Stop)

Need you baby, need you
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)

Need you baby, need you
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)

Need you baby, need you
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)

Stop it, stop it, yeah
I've been waiting on you (I've been waiting on you)
I've been waiting on you (I've been waiting on you)
I just wanna know when it'll stop (Stop)";¿A quién extraña el cantante?;you;35
22062;"[Verse 1: Grace]
Feelin' like somethin' when you're so low-key
It stresses me out so good
Try to be cool but I'm in my head
Bendin' to all your rules
I'm cool with your friends
And I turn my head when you wanna talk your shit
Who else is puttin' up with this?
Fish out of water, gotta get my armor
To swim in your element
Lie through my teeth like a good actress
So you'll never see me sweat
If you caught a bird's eye of the ones in line
Who want me, you might regret it
Who else is puttin' up with this?

[Chorus: Grace]
Boys like you with me should know it's an honor
Know it's honor
Girls like me, oh we got too much to offer
Too much to offer
Boys like you with me should know it's an honor
Know it's honor
Girls like me, oh we got too much to offer
Too much to offer
[Verse 2: Grace]
Maybe I'm bored, like being ignored
Don't know why I'm in your bed
Why would I wanna put up with the drama?
It's fun playin' in your head
Down on your level, I dance in the shadow
I'm so good at this two-steppin'
Who else is puttin' up with this?
Like a fine wine, you'll see it in time
What you had up on your tongue
Passin' on me, don't know what you leave
Guess I left your tastebuds numb
You got it easy but your taste is cheap
Then you need to clear your palate
I won't be puttin' up with this

[Chorus: Grace]
Boys like you with me should know it's an honor
Know it's honor
Girls like me, oh we got too much to offer
Too much to offer
Boys like you with me should know it's an honor
Know it's honor
Girls like me, oh we got too much to offer
Too much to offer
[Bridge: Grace]
Funny how the best ones are so screwed
Funny how they mess with guys like you
Caught up in the moment, bendin' rules
Funny how the best ones are so screwed

[Verse 3: Lil Yachty]
Lil Boat!
Please love me
It's so funny how you expect someone perfect
So funny how people ride waves 'til they're surf-sick
It's not mazel tov 'til the shirt's lit
It's not a true love 'til mama approves of it
Please don't go
And then you think to yourself like you're really goin' through with it
And givin' everything until you're through with it
Love me so, so
You prolly think that I'm losin' it
'Cause I would fuck up so easily
Please love me forever
You would listen to my lies and go believe in me
'Cause honestly you couldn't think of ever leavin' me
And that might be a better option, but I needed you
When you needed me
When I was sick in that bed, you had treated me
Don't let me fade away, away, away
I tried to come back for your love, but you seated me
But I understand your every single reasoning
You always tie it all together like a seasoning
I really screwed up... please come home?
[Chorus: Grace]
Boys like you with me should know it's an honor
Know it's honor, baby
Girls like me, oh we got too much to offer
Too much to offer, baby
Boys like you with me should know it's an honor
You should know it's honor
You should know
Girls like me, oh we got too much to offer
Too much to offer
Too much

[Outro: Lil Yachty]
Please love me forever
It's DJ Cassidy, the lovely Grace
And yours truly, it's Lil Yachty
Don't let me fade away, away, away
Thank you for listening, baby";¿En qué se convirtió?;everything;2060
